Status,Leetcode,Name,Difficulty,Tag,Page,Date
In progress,16,3Sum Closest,Medium,"Sorting, TwoPointers",https://leetcode.com/problems/3sum-closest/description/,"August 24, 2023"
In progress,1099,Two Sum Less Than K,Easy,"Array, TwoPointers",https://leetcode.com/problems/two-sum-less-than-k/description/,"August 24, 2023"
needreview😭,206,Reverse Linked List,Easy,"Linked List, TwoPointers",https://leetcode.com/problems/reverse-linked-list/description/,"August 23, 2023"
In progress,151,Reverse Words in a String,Medium,"String, TwoPointers",https://leetcode.com/problems/reverse-words-in-a-string/description/,"August 23, 2023"
In progress,15,3Sum,Medium,"Array, Sorting, TwoPointers",https://leetcode.com/problems/3sum/,"August 23, 2023"
Done,160,Intersection of Two Linked List,Easy,"Hash Table, Linked List, TwoPointers",https://leetcode.com/problems/intersection-of-two-linked-lists/description/,"August 23, 2023"
needreview😭,19,Remove Nth Node From End of List,Medium,"Linked List, TwoPointers",https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/?envType=study-plan-v2&envId=top-interview-150,"August 23, 2023"
Done,142,Linked List Cycle II,Medium,"Hash Table, Linked List, TwoPointers",https://leetcode.com/problems/linked-list-cycle-ii/description/,"August 23, 2023"
In progress,796,Rotate String,Not started,"String, TwoPointers",https://leetcode.com/problems/rotate-string/,"August 22, 2023"
Done,283,Moves Zeroes,Easy,"Array, TwoPointers",https://leetcode.com/problems/move-zeroes/description/,"August 22, 2023"
needreview😭,11,Container With Most Water,Medium,"Array, Greedy, TwoPointers",https://leetcode.com/problems/container-with-most-water/?envType=study-plan-v2&envId=top-interview-150,"August 22, 2023"
In progress,392,Is Subsequence,Easy,"DP, String, TwoPointers",https://leetcode.com/problems/is-subsequence/description/?envType=study-plan-v2&envId=top-interview-150,"August 22, 2023"
In progress,18,4Sum,Medium,"Array, Sorting, TwoPointers",https://leetcode.com/problems/4sum/submissions/1028068294/,"August 21, 2023"
In progress,454,4Sum II,Medium,"Array, Hash Table",https://leetcode.com/problems/4sum-ii/,"August 21, 2023"
In progress,1002,Find Common Characters,Easy,"Array, Hash Table",https://leetcode.com/problems/find-common-characters/description/,"August 19, 2023"
In progress,347,Top K Frequent Elements,Medium,"Array, Hash Table, Heap",https://leetcode.com/problems/top-k-frequent-elements/description/,"August 19, 2023"
